year,team_name,total_wins,team_salary,,year,team_name,total_wins,team_salary,,year,team_name,total_wins,team_salary,,year,team_name,total_wins,team_salary,,year,team_name,total_wins,team_salary,,year,team_name,total_wins,team_salary,,year,team_name,total_wins,team_salary,,year,team_name,total_wins,team_salary,,year,team_name,total_wins,team_salary
2000,New York Yankees,87,92338260,,2001,New York Yankees,95,112287143,,2002,New York Yankees,103,125928583,,2003,New York Yankees,101,152749814,,2008,New York Yankees,89,207896789,,2010,New York Yankees,95,206333389,,2015,Los Angeles Dodgers,92,215792000,,2016,New York Yankees,84,222997792,,2012,New York Yankees,95,196522289
2000,Los Angeles Dodgers,86,87924286,,2001,Boston Red Sox,82,110035833,,2002,Boston Red Sox,93,108366060,,2003,New York Mets,66,116876429,,2008,New York Mets,89,137793376,,2010,Boston Red Sox,89,162447333,,2015,New York Yankees,87,212751957,,2016,Los Angeles Dodgers,91,221288380,,2012,Philadelphia Phillies,81,174538938
2000,Atlanta Braves,95,84537836,,2001,Los Angeles Dodgers,86,109105953,,2002,Texas Rangers,72,105526122,,2003,Atlanta Braves,101,106243667,,2008,Detroit Tigers,74,137685196,,2010,Chicago Cubs,75,146609000,,2015,Boston Red Sox,78,181103400,,2016,Detroit Tigers,86,194876481,,2012,Boston Red Sox,69,173186617
2000,Baltimore Orioles,74,81447435,,2001,New York Mets,82,93174428,,2002,Arizona Diamondbacks,98,102819999,,2003,Los Angeles Dodgers,85,105572620,,2008,Boston Red Sox,95,133390035,,2010,Philadelphia Phillies,97,141928379,,2015,Detroit Tigers,74,172284750,,2016,Boston Red Sox,93,188545761,,2012,Los Angeles Angels of Anaheim,89,154485166
2000,Arizona Diamondbacks,85,81027833,,2001,Cleveland Indians,91,93152001,,2002,Los Angeles Dodgers,92,94850953,,2003,Texas Rangers,71,103491667,,2008,Chicago White Sox,89,121189332,,2010,New York Mets,79,134422942,,2015,San Francisco Giants,84,164701500,,2016,Texas Rangers,95,176038723,,2012,Detroit Tigers,88,132300000
2000,New York Mets,94,79509776,,2001,Atlanta Braves,88,91936166,,2002,New York Mets,75,94633593,,2003,Boston Red Sox,95,99946500,,2008,Los Angeles Angels of Anaheim,100,119216333,,2010,Detroit Tigers,81,122864928,,2015,Washington Nationals,83,155587472,,2016,San Francisco Giants,87,172253778,,2012,Texas Rangers,93,120510974
2000,Boston Red Sox,85,77940333,,2001,Texas Rangers,73,88633500,,2002,Atlanta Braves,101,92870367,,2003,Seattle Mariners,93,86959167,,2008,Los Angeles Dodgers,84,118588536,,2010,Chicago White Sox,88,105530000,,2015,Texas Rangers,88,143742789,,2016,Baltimore Orioles,89,161863456,,2012,Miami Marlins,69,118078000
2000,Cleveland Indians,90,75880771,,2001,Arizona Diamondbacks,92,85082999,,2002,Seattle Mariners,93,80282668,,2003,St. Louis Cardinals,85,83786666,,2008,Chicago Cubs,97,118345833,,2010,Los Angeles Angels of Anaheim,80,104963866,,2015,Seattle Mariners,76,122208700,,2016,Chicago Cubs,103,154067668,,2012,San Francisco Giants,94,117620683
2000,Texas Rangers,71,70795921,,2001,St. Louis Cardinals,93,78538333,,2002,Cleveland Indians,74,78909449,,2003,San Francisco Giants,100,82852167,,2008,Seattle Mariners,61,117666482,,2010,San Francisco Giants,92,98641333,,2015,Los Angeles Angels of Anaheim,85,120005415,,2016,St. Louis Cardinals,86,143053500,,2012,St. Louis Cardinals,88,110300862
2000,Tampa Bay Devil Rays,69,62765129,,2001,Toronto Blue Jays,80,76895999,,2002,San Francisco Giants,95,78299835,,2003,Arizona Diamondbacks,84,80657000,,2008,Atlanta Braves,72,102365683,,2010,Minnesota Twins,94,97559166,,2015,St. Louis Cardinals,100,119241500,,2016,Washington Nationals,95,141652646,,2012,Milwaukee Brewers,83,97653944
2000,St. Louis Cardinals,95,61453863,,2001,Seattle Mariners,116,74720834,,2002,Toronto Blue Jays,78,76864333,,2003,Chicago Cubs,88,79868333,,2008,St. Louis Cardinals,86,99624449,,2010,Los Angeles Dodgers,80,95358016,,2015,San Diego Padres,74,118441300,,2016,Toronto Blue Jays,89,138701700,,2012,Chicago White Sox,85,96919500
2000,Colorado Rockies,82,61111190,,2001,Colorado Rockies,73,71541334,,2002,Chicago Cubs,67,75690833,,2003,Anaheim Angels,77,79031667,,2008,Philadelphia Phillies,92,97879880,,2010,St. Louis Cardinals,86,93540751,,2015,Chicago Cubs,97,115879310,,2016,Los Angeles Angels of Anaheim,74,137251333,,2012,Los Angeles Dodgers,86,95143575
2000,Chicago Cubs,65,60539333,,2001,Baltimore Orioles,63,67599540,,2002,St. Louis Cardinals,97,74660875,,2003,Baltimore Orioles,71,73877500,,2008,Toronto Blue Jays,86,97793900,,2010,Houston Astros,76,92355500,,2015,Baltimore Orioles,81,115044833,,2016,Seattle Mariners,86,135683339,,2012,Minnesota Twins,66,94085000
2000,Seattle Mariners,91,58915000,,2001,Chicago White Sox,83,65653667,,2002,Houston Astros,84,63448417,,2003,Houston Astros,87,71040000,,2008,Houston Astros,86,88930414,,2010,Seattle Mariners,61,86510000,,2015,Cincinnati Reds,64,113072286,,2016,New York Mets,87,133889129,,2012,New York Mets,74,93353983
2000,Detroit Tigers,79,58265167,,2001,Chicago Cubs,88,64715833,,2002,Anaheim Angels,99,61721667,,2003,Philadelphia Phillies,86,70780000,,2008,Milwaukee Brewers,90,80937499,,2010,Atlanta Braves,91,84423666,,2015,Toronto Blue Jays,93,112992400,,2016,Kansas City Royals,81,131487125,,2012,Chicago Cubs,61,88197033
2000,San Diego Padres,76,54821000,,2001,San Francisco Giants,90,63280167,,2002,Baltimore Orioles,67,60493487,,2003,Colorado Rockies,74,67179667,,2008,Cleveland Indians,81,78970066,,2010,Colorado Rockies,83,84227000,,2015,Chicago White Sox,76,112373700,,2016,Chicago White Sox,78,112998667,,2012,Atlanta Braves,94,82829942
2000,San Francisco Giants,97,53737826,,2001,Houston Astros,93,60612667,,2002,Philadelphia Phillies,80,57954999,,2003,Cincinnati Reds,69,59355667,,2008,San Francisco Giants,72,76594500,,2010,Baltimore Orioles,66,81612500,,2015,Kansas City Royals,95,112107025,,2016,Colorado Rockies,75,112645071,,2012,Cincinnati Reds,97,82203616
2000,Anaheim Angels,82,51464167,,2001,Pittsburgh Pirates,62,57760833,,2002,Chicago White Sox,81,57052833,,2003,Minnesota Twins,90,55505000,,2008,Cincinnati Reds,74,74117695,,2010,Milwaukee Brewers,77,81108278,,2015,Philadelphia Phillies,63,111693000,,2016,Pittsburgh Pirates,78,103778833,,2012,Seattle Mariners,75,81978100
2000,Houston Astros,72,51289111,,2001,Tampa Bay Devil Rays,62,56980000,,2002,Colorado Rockies,73,56851043,,2003,Pittsburgh Pirates,75,54812429,,2008,San Diego Padres,63,73677616,,2010,Tampa Bay Rays,96,71923471,,2015,Minnesota Twins,83,107755000,,2016,Minnesota Twins,59,102583200,,2012,Washington Nationals,98,80855143
2000,Philadelphia Phillies,65,47308000,,2001,Detroit Tigers,66,53416167,,2002,Detroit Tigers,55,55048000,,2003,Montreal Expos,83,51948500,,2008,Colorado Rockies,74,68655500,,2010,Cincinnati Reds,91,71761542,,2015,Milwaukee Brewers,68,100850000,,2016,San Diego Padres,68,101424814,,2012,Cleveland Indians,68,78430300
2000,Cincinnati Reds,85,46867200,,2001,Cincinnati Reds,66,48986000,,2002,Milwaukee Brewers,56,50287833,,2003,Toronto Blue Jays,86,51269000,,2008,Texas Rangers,79,67712326,,2010,Kansas City Royals,67,71405210,,2015,New York Mets,90,96766683,,2016,Houston Astros,84,94893700,,2012,Colorado Rockies,64,78069571
2000,Toronto Blue Jays,83,44838332,,2001,Anaheim Angels,75,47535167,,2002,Kansas City Royals,62,47257000,,2003,Chicago White Sox,86,51010000,,2008,Baltimore Orioles,68,67196246,,2010,Toronto Blue Jays,85,62234000,,2015,Colorado Rockies,68,95688600,,2016,Cincinnati Reds,68,88940059,,2012,Baltimore Orioles,93,77353999
2000,Milwaukee Brewers,73,36505333,,2001,Milwaukee Brewers,68,43886833,,2002,Cincinnati Reds,78,45050390,,2003,Oakland Athletics,96,50260834,,2008,Arizona Diamondbacks,82,66202712,,2010,Washington Nationals,69,61400000,,2015,Pittsburgh Pirates,98,88892499,,2016,Arizona Diamondbacks,69,87439063,,2012,Toronto Blue Jays,73,75009200
2000,Montreal Expos,67,32994333,,2001,Philadelphia Phillies,86,41663833,,2002,Pittsburgh Pirates,72,42323599,,2003,Florida Marlins,91,49450000,,2008,Kansas City Royals,75,58245500,,2010,Cleveland Indians,69,61203966,,2015,Cleveland Indians,81,87663766,,2016,Oakland Athletics,69,86806234,,2012,Arizona Diamondbacks,81,73804833
2000,Oakland Athletics,91,31971333,,2001,San Diego Padres,79,39182833,,2002,Florida Marlins,79,41979917,,2003,Detroit Tigers,43,49168000,,2008,Minnesota Twins,88,56932766,,2010,Arizona Diamondbacks,65,60718166,,2015,Oakland Athletics,68,79053501,,2016,Miami Marlins,79,77314202,,2012,Tampa Bay Rays,90,64173500
2000,Chicago White Sox,95,31133500,,2001,Florida Marlins,76,35762500,,2002,San Diego Padres,66,41425000,,2003,Cleveland Indians,68,48584834,,2008,Washington Nationals,59,54961000,,2010,Florida Marlins,80,57029719,,2015,Houston Astros,86,72256200,,2016,Cleveland Indians,94,74311900,,2012,Pittsburgh Pirates,79,62951999
2000,Pittsburgh Pirates,69,28928334,,2001,Kansas City Royals,65,35422500,,2002,Minnesota Twins,94,40425000,,2003,San Diego Padres,64,45210000,,2008,Pittsburgh Pirates,67,48689783,,2010,Oakland Athletics,81,55254900,,2015,Atlanta Braves,67,71781250,,2016,Milwaukee Brewers,73,68775237,,2012,Kansas City Royals,72,60916225
2000,Kansas City Royals,77,23433000,,2001,Montreal Expos,68,35159500,,2002,Oakland Athletics,103,40004167,,2003,Milwaukee Brewers,68,40627000,,2008,Oakland Athletics,75,47967126,,2010,Texas Rangers,90,55250544,,2015,Miami Marlins,71,68056500,,2016,Atlanta Braves,68,68498291,,2012,Houston Astros,55,60651000
2000,Florida Marlins,79,19872000,,2001,Oakland Athletics,102,33810750,,2002,Montreal Expos,83,38670500,,2003,Kansas City Royals,83,40518000,,2008,Tampa Bay Rays,97,43820597,,2010,San Diego Padres,90,37799300,,2015,Tampa Bay Rays,80,64521233,,2016,Philadelphia Phillies,71,58980000,,2012,Oakland Athletics,94,55372500
2000,Minnesota Twins,69,16519500,,2001,Minnesota Twins,85,24130000,,2002,Tampa Bay Devil Rays,55,34380000,,2003,Tampa Bay Devil Rays,63,19630000,,2008,Florida Marlins,84,21811500,,2010,Pittsburgh Pirates,57,34943000,,2015,Arizona Diamondbacks,79,61834000,,2016,Tampa Bay Rays,68,57097310,,2012,San Diego Padres,76,55244700
